,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Weekdays,Time_Of_The_Day
2205,IndiGo,2019-06-03,Delhi,Cochin,DEL → PNQ → COK,23:30:00,04:35:00,305,1.0,No info,11378,3,6,2019,Monday,Night
2206,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → MUM → COK,15:00:00,01:30:00,630,1.0,No info,13377,27,6,2019,Thursday,Afternoon
2207,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844,21,5,2019,Tuesday,Morning
2208,Jet Airways,2019-05-09,Mumbai,Hyderabad,MUM → HYD,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995,9,5,2019,Thursday,Morning
2209,Air India,2019-03-27,Delhi,Cochin,DEL → HYD → MAA → COK,17:15:00,09:25:00,970,2.0,No info,6057,27,3,2019,Wednesday,Afternoon
2210,Air India,2019-04-06,Banglore,Delhi,BLR → DEL,10:00:00,12:45:00,165,0.0,No info,5176,6,4,2019,Saturday,Morning
2211,Jet Airways,2019-06-09,Delhi,Cochin,DEL → JAI → MUM → COK,09:40:00,04:25:00,1125,2.0,No info,13014,9,6,2019,Sunday,Morning
2212,IndiGo,2019-03-01,Banglore,New Delhi,BLR → HYD → DEL,16:15:00,20:35:00,260,1.0,No info,7917,1,3,2019,Friday,Afternoon
2213,SpiceJet,2019-06-09,Delhi,Cochin,DEL → MAA → COK,06:05:00,11:20:00,315,1.0,No info,5583,9,6,2019,Sunday,Morning
2214,Jet Airways,2019-04-09,Banglore,Delhi,BLR → DEL,06:00:00,08:45:00,165,0.0,No info,7229,9,4,2019,Tuesday,Morning
2215,IndiGo,2019-05-18,Delhi,Cochin,DEL → MUM → COK,16:00:00,01:30:00,570,1.0,No info,7191,18,5,2019,Saturday,Afternoon
2216,Jet Airways,2019-06-12,Mumbai,Hyderabad,MUM → HYD,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210,12,6,2019,Wednesday,Evening
2217,IndiGo,2019-03-06,Delhi,Cochin,DEL → MUM → COK,15:00:00,01:35:00,635,1.0,No info,14871,6,3,2019,Wednesday,Afternoon
2218,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → MUM → COK,08:30:00,19:15:00,645,1.0,No info,8099,15,5,2019,Wednesday,Morning
2219,Air India,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,09:25:00,18:30:00,545,1.0,No info,8366,21,5,2019,Tuesday,Morning
2220,IndiGo,2019-03-09,Chennai,Kolkata,MAA → CCU,22:05:00,00:25:00,140,0.0,No info,6297,9,3,2019,Saturday,Night
2221,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → MUM → COK,13:00:00,21:00:00,480,1.0,No info,18286,3,3,2019,Sunday,Afternoon
2222,Jet Airways,2019-03-06,Delhi,Cochin,DEL → MUM → COK,23:05:00,19:45:00,1240,1.0,No info,17024,6,3,2019,Wednesday,Night
2223,Jet Airways,2019-04-24,Banglore,Delhi,BLR → DEL,07:10:00,10:10:00,180,0.0,In-flight meal not included,6144,24,4,2019,Wednesday,Morning
2224,Multiple carriers,2019-03-09,Delhi,Cochin,DEL → MUM → COK,06:00:00,19:45:00,825,1.0,No info,13941,9,3,2019,Saturday,Morning
2225,Jet Airways,2019-05-09,Banglore,Delhi,BLR → DEL,18:55:00,22:00:00,185,0.0,In-flight meal not included,3702,9,5,2019,Thursday,Evening
2226,SpiceJet,2019-05-15,Delhi,Cochin,DEL → MAA → COK,06:05:00,11:20:00,315,1.0,No info,5583,15,5,2019,Wednesday,Morning
2227,Air India,2019-03-12,Mumbai,Hyderabad,MUM → DEL → HYD,19:40:00,09:10:00,810,1.0,No info,10208,12,3,2019,Tuesday,Evening
2228,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,18:00:00,505,1.0,In-flight meal not included,12384,6,5,2019,Monday,Morning
2229,Air India,2019-05-06,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00:00,05:25:00,1165,2.0,No info,17049,6,5,2019,Monday,Morning
2230,IndiGo,2019-05-24,Delhi,Cochin,DEL → MUM → COK,07:30:00,21:00:00,810,1.0,No info,7006,24,5,2019,Friday,Morning
2231,Air India,2019-06-12,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50:00,20:25:00,875,2.0,No info,12723,12,6,2019,Wednesday,Night
2232,Jet Airways,2019-06-12,Delhi,Cochin,DEL → MUM → COK,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10577,12,6,2019,Wednesday,Morning
2233,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → MUM → DEL,07:00:00,19:10:00,730,1.0,No info,16736,6,3,2019,Wednesday,Morning
2234,Jet Airways,2019-06-24,Delhi,Cochin,DEL → MUM → COK,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262,24,6,2019,Monday,Afternoon
2235,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → MUM → COK,11:25:00,19:15:00,470,1.0,No info,7155,24,6,2019,Monday,Morning
2236,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → MUM → COK,10:20:00,01:35:00,915,1.0,No info,15147,3,3,2019,Sunday,Morning
2237,IndiGo,2019-06-12,Banglore,Delhi,BLR → DEL,07:10:00,10:05:00,175,0.0,No info,4823,12,6,2019,Wednesday,Morning
2238,Air India,2019-03-15,Banglore,New Delhi,BLR → BBI → DEL,09:30:00,16:20:00,410,1.0,No info,8714,15,3,2019,Friday,Morning
2239,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,09:45:00,1450,1.0,No info,10953,6,5,2019,Monday,Morning
2240,Air India,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,20:30:00,20:25:00,1435,1.0,No info,10203,12,6,2019,Wednesday,Evening
2241,Jet Airways,2019-05-18,Delhi,Cochin,DEL → MUM → COK,13:00:00,12:35:00,1415,1.0,In-flight meal not included,12373,18,5,2019,Saturday,Afternoon
2242,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,23:35:00,840,1.0,No info,14151,12,5,2019,Sunday,Morning
2243,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,14:25:00,1730,1.0,No info,12121,24,5,2019,Friday,Morning
2244,Vistara,2019-04-09,Delhi,Cochin,DEL → COK,06:00:00,09:10:00,190,0.0,No info,5586,9,4,2019,Tuesday,Morning
2245,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,12:00:00,1655,1.0,In-flight meal not included,10844,18,5,2019,Saturday,Morning
2246,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586,21,5,2019,Tuesday,Night
2247,SpiceJet,2019-06-06,Delhi,Cochin,DEL → BLR → COK,17:55:00,22:50:00,295,1.0,No info,5409,6,6,2019,Thursday,Afternoon
2248,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → HYD → MAA → COK,09:45:00,21:20:00,695,2.0,No info,7178,21,3,2019,Thursday,Morning
2249,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → MUM → COK,10:20:00,01:30:00,910,1.0,In-flight meal not included,5797,24,6,2019,Monday,Morning
2250,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → MUM → BLR,19:45:00,19:40:00,1435,1.0,No info,13759,24,3,2019,Sunday,Evening
2251,Air India,2019-05-24,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00:00,01:20:00,1100,2.0,No info,13873,24,5,2019,Friday,Morning
2252,Jet Airways,2019-05-21,Delhi,Cochin,DEL → MUM → COK,20:55:00,19:00:00,1325,1.0,No info,16079,21,5,2019,Tuesday,Evening
2253,SpiceJet,2019-06-27,Mumbai,Hyderabad,MUM → HYD,13:15:00,14:45:00,90,0.0,No info,2017,27,6,2019,Thursday,Afternoon
2254,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844,18,5,2019,Saturday,Evening
2255,SpiceJet,2019-04-24,Banglore,Delhi,BLR → DEL,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573,24,4,2019,Wednesday,Night
2256,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,09:45:00,1450,1.0,In-flight meal not included,8066,6,5,2019,Monday,Morning
2257,Jet Airways,2019-03-09,Delhi,Cochin,DEL → MUM → COK,20:50:00,18:50:00,1320,1.0,In-flight meal not included,14053,9,3,2019,Saturday,Evening
2258,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → MUM → DEL,08:00:00,15:15:00,435,1.0,No info,12284,18,3,2019,Monday,Morning
2259,SpiceJet,2019-04-09,Delhi,Cochin,DEL → MAA → COK,06:05:00,11:20:00,315,1.0,No info,5351,9,4,2019,Tuesday,Morning
2260,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → MUM → BLR,16:30:00,16:20:00,1430,1.0,In-flight meal not included,7064,1,4,2019,Monday,Afternoon
2261,IndiGo,2019-03-03,Delhi,Cochin,DEL → MAA → COK,02:05:00,07:25:00,320,1.0,No info,10394,3,3,2019,Sunday,Night
2262,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → MUM → BLR,18:55:00,09:20:00,865,1.0,In-flight meal not included,9663,15,5,2019,Wednesday,Evening
2263,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → MUM → COK,17:30:00,01:30:00,480,1.0,No info,13727,18,5,2019,Saturday,Afternoon
2264,Jet Airways,2019-06-12,Delhi,Cochin,DEL → MUM → COK,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262,12,6,2019,Wednesday,Evening
2265,IndiGo,2019-04-09,Banglore,Delhi,BLR → DEL,07:10:00,10:05:00,175,0.0,No info,4823,9,4,2019,Tuesday,Morning
2266,Air Asia,2019-03-03,Banglore,New Delhi,BLR → DEL,05:50:00,08:40:00,170,0.0,No info,7074,3,3,2019,Sunday,Night
2267,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → MUM → COK,07:05:00,21:00:00,835,1.0,No info,17267,6,3,2019,Wednesday,Morning
2268,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → MUM → COK,15:00:00,01:30:00,630,1.0,No info,14067,21,5,2019,Tuesday,Afternoon
2269,IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,08:30:00,11:20:00,170,0.0,No info,4823,1,5,2019,Wednesday,Morning
2270,IndiGo,2019-04-27,Banglore,Delhi,BLR → DEL,20:00:00,22:50:00,170,0.0,No info,4823,27,4,2019,Saturday,Evening
2271,Air Asia,2019-05-12,Banglore,Delhi,BLR → DEL,23:55:00,02:45:00,170,0.0,No info,4483,12,5,2019,Sunday,Night
2272,Air India,2019-06-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50:00,23:15:00,805,2.0,No info,14960,6,6,2019,Thursday,Morning
2273,Air India,2019-06-01,Banglore,Delhi,BLR → DEL,17:00:00,19:45:00,165,0.0,No info,7171,1,6,2019,Saturday,Afternoon
2274,Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:30:00,08:55:00,745,1.0,No info,12173,24,3,2019,Sunday,Evening
2275,Air India,2019-03-03,Banglore,New Delhi,BLR → AMD → DEL,00:30:00,08:45:00,495,1.0,No info,11392,3,3,2019,Sunday,Night
2276,Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00:00,13:45:00,1665,2.0,No info,16057,15,5,2019,Wednesday,Morning
2277,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,10:55:00,1075,1.0,No info,14151,9,6,2019,Sunday,Afternoon
2278,Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030,21,5,2019,Tuesday,Morning
2279,IndiGo,2019-05-06,Kolkata,Banglore,CCU → BBI → BLR,19:35:00,23:15:00,220,1.0,No info,4226,6,5,2019,Monday,Evening
2280,Air India,2019-03-09,Delhi,Cochin,DEL → MUM → COK,04:00:00,19:15:00,915,1.0,No info,11050,9,3,2019,Saturday,Night
2281,Air India,2019-05-21,Banglore,Delhi,BLR → DEL,10:00:00,12:45:00,165,0.0,No info,6961,21,5,2019,Tuesday,Morning
2282,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,09:15:00,725,1.0,No info,14231,24,3,2019,Sunday,Night
2283,Jet Airways,2019-06-27,Delhi,Cochin,DEL → NAG → MUM → COK,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919,27,6,2019,Thursday,Afternoon
2284,Air India,2019-03-27,Delhi,Cochin,DEL → LKO → MUM → COK,07:00:00,19:15:00,735,2.0,No info,10913,27,3,2019,Wednesday,Morning
2285,IndiGo,2019-06-27,Chennai,Kolkata,MAA → CCU,22:05:00,00:25:00,140,0.0,No info,5277,27,6,2019,Thursday,Night
2286,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → MUM → COK,10:20:00,21:00:00,640,1.0,No info,7485,21,5,2019,Tuesday,Morning
2287,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → MUM → BLR,16:55:00,16:20:00,1405,1.0,No info,14231,24,3,2019,Sunday,Afternoon
2288,GoAir,2019-04-06,Delhi,Cochin,DEL → AMD → COK,07:25:00,13:35:00,370,1.0,No info,4201,6,4,2019,Saturday,Morning
2289,Air India,2019-03-06,Delhi,Cochin,DEL → COK,14:10:00,17:10:00,180,0.0,No info,7931,6,3,2019,Wednesday,Afternoon
2290,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → HYD → COK,14:55:00,22:30:00,455,1.0,No info,6513,15,5,2019,Wednesday,Afternoon
2291,Jet Airways,2019-06-06,Delhi,Cochin,DEL → MUM → COK,15:00:00,19:00:00,1680,1.0,No info,14714,6,6,2019,Thursday,Afternoon
2292,IndiGo,2019-05-09,Kolkata,Banglore,CCU → NAG → BLR,18:05:00,23:30:00,325,1.0,No info,6218,9,5,2019,Thursday,Evening
2293,Air India,2019-06-27,Delhi,Cochin,DEL → JAI → MUM → COK,12:00:00,19:15:00,435,2.0,No info,8603,27,6,2019,Thursday,Afternoon
2294,IndiGo,2019-05-21,Delhi,Cochin,DEL → MUM → COK,08:30:00,21:00:00,750,1.0,No info,7318,21,5,2019,Tuesday,Morning
2295,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → MUM → COK,10:00:00,19:00:00,540,1.0,No info,13504,15,6,2019,Saturday,Morning
2296,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → HYD → COK,07:05:00,22:30:00,925,1.0,No info,9646,15,5,2019,Wednesday,Morning
2297,IndiGo,2019-05-27,Kolkata,Banglore,CCU → BLR,11:30:00,14:05:00,155,0.0,No info,5224,27,5,2019,Monday,Morning
2298,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,18:00:00,505,1.0,No info,12692,12,6,2019,Wednesday,Morning
2299,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → GAU → BLR,10:20:00,17:35:00,435,1.0,In-flight meal not included,9689,6,6,2019,Thursday,Morning
2300,Air India,2019-05-09,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00:00,01:20:00,920,2.0,No info,13033,9,5,2019,Thursday,Morning
2301,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → MUM → BLR,06:30:00,16:20:00,590,1.0,No info,13626,12,6,2019,Wednesday,Morning
2302,IndiGo,2019-05-18,Mumbai,Hyderabad,MUM → HYD,19:05:00,20:35:00,90,0.0,No info,2754,18,5,2019,Saturday,Evening
2303,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,09:45:00,1005,1.0,No info,12121,9,5,2019,Thursday,Afternoon
2304,IndiGo,2019-04-24,Banglore,Delhi,BLR → DEL,01:30:00,04:15:00,165,0.0,No info,3419,24,4,2019,Wednesday,Night
2305,Air India,2019-05-21,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00:00,01:20:00,920,2.0,No info,13033,21,5,2019,Tuesday,Morning
2306,IndiGo,2019-04-06,Kolkata,Banglore,CCU → BLR,04:40:00,07:15:00,155,0.0,No info,4174,6,4,2019,Saturday,Night
2307,Air Asia,2019-06-27,Delhi,Cochin,DEL → BLR → COK,07:55:00,22:25:00,870,1.0,No info,6152,27,6,2019,Thursday,Morning
2308,Air India,2019-06-27,Delhi,Cochin,DEL → COK,05:10:00,08:00:00,170,0.0,No info,5201,27,6,2019,Thursday,Night
2309,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → MUM → DEL,07:00:00,16:10:00,550,1.0,In-flight meal not included,9134,15,3,2019,Friday,Morning
2310,Air India,2019-05-18,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00:00,01:20:00,1100,2.0,No info,13243,18,5,2019,Saturday,Morning
2311,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → MUM → COK,05:30:00,04:25:00,1375,2.0,No info,15129,27,5,2019,Monday,Night
2312,Jet Airways,2019-05-09,Mumbai,Hyderabad,MUM → HYD,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759,9,5,2019,Thursday,Evening
2313,IndiGo,2019-05-15,Banglore,Delhi,BLR → DEL,06:05:00,08:50:00,165,0.0,No info,4423,15,5,2019,Wednesday,Morning
2314,Vistara,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,07:10:00,22:40:00,930,1.0,No info,9187,18,5,2019,Saturday,Morning
2315,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:10:00,22:30:00,920,1.0,No info,7740,18,5,2019,Saturday,Morning
2316,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,19:50:00,22:50:00,180,0.0,In-flight meal not included,6144,24,5,2019,Friday,Evening
2317,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → MUM → COK,04:55:00,12:35:00,460,1.0,No info,10877,9,6,2019,Sunday,Night
2318,IndiGo,2019-06-15,Delhi,Cochin,DEL → HYD → COK,11:55:00,22:30:00,635,1.0,No info,6442,15,6,2019,Saturday,Morning
2319,IndiGo,2019-03-27,Delhi,Cochin,DEL → MUM → COK,04:45:00,15:30:00,645,1.0,No info,7048,27,3,2019,Wednesday,Night
2320,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → MUM → COK,15:15:00,01:30:00,615,1.0,In-flight meal not included,5797,27,6,2019,Thursday,Afternoon
2321,Air India,2019-03-03,Banglore,New Delhi,BLR → MUM → AMD → DEL,06:45:00,23:55:00,1030,2.0,No info,10573,3,3,2019,Sunday,Morning
2322,IndiGo,2019-05-15,Delhi,Cochin,DEL → MUM → COK,08:30:00,21:00:00,750,1.0,No info,7503,15,5,2019,Wednesday,Morning
2323,IndiGo,2019-06-12,Delhi,Cochin,DEL → MUM → COK,17:30:00,01:30:00,480,1.0,No info,6104,12,6,2019,Wednesday,Afternoon
2324,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → MUM → BLR,21:10:00,08:15:00,665,1.0,In-flight meal not included,9663,9,5,2019,Thursday,Night
2325,Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769,3,6,2019,Monday,Morning
2326,Air India,2019-06-15,Mumbai,Hyderabad,MUM → HYD,13:55:00,15:25:00,90,0.0,No info,3100,15,6,2019,Saturday,Afternoon
2327,Jet Airways,2019-05-18,Delhi,Cochin,DEL → MUM → COK,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373,18,5,2019,Saturday,Afternoon
2328,SpiceJet,2019-03-15,Kolkata,Banglore,CCU → BLR,09:00:00,11:30:00,150,0.0,No check-in baggage included,3815,15,3,2019,Friday,Morning
2329,Jet Airways,2019-06-15,Delhi,Cochin,DEL → ATQ → MUM → COK,12:15:00,12:35:00,1460,2.0,No info,14300,15,6,2019,Saturday,Afternoon
2330,IndiGo,2019-06-01,Banglore,Delhi,BLR → DEL,07:10:00,10:05:00,175,0.0,No info,4823,1,6,2019,Saturday,Morning
2331,IndiGo,2019-06-18,Mumbai,Hyderabad,MUM → HYD,19:05:00,20:35:00,90,0.0,No info,2754,18,6,2019,Tuesday,Evening
2332,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → MUM → COK,06:00:00,19:15:00,795,1.0,No info,9736,3,6,2019,Monday,Morning
2333,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,09:45:00,14:25:00,280,1.0,In-flight meal not included,7280,21,3,2019,Thursday,Morning
2334,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → MUM → COK,08:00:00,21:00:00,780,1.0,No info,7408,9,6,2019,Sunday,Morning
2335,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,12:00:00,960,1.0,No info,13044,12,6,2019,Wednesday,Evening
2336,Air India,2019-05-24,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50:00,23:15:00,1045,2.0,No info,12723,24,5,2019,Friday,Night
2337,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → MUM → BLR,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586,6,5,2019,Monday,Afternoon
2338,IndiGo,2019-06-12,Delhi,Cochin,DEL → MUM → COK,16:00:00,01:30:00,570,1.0,No info,6316,12,6,2019,Wednesday,Afternoon
2339,Jet Airways,2019-05-09,Delhi,Cochin,DEL → MUM → COK,09:00:00,19:00:00,600,1.0,No info,15554,9,5,2019,Thursday,Morning
2340,SpiceJet,2019-03-15,Mumbai,Hyderabad,MUM → HYD,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385,15,3,2019,Friday,Afternoon
2341,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → MUM → COK,13:00:00,21:00:00,480,1.0,No info,13587,9,6,2019,Sunday,Afternoon
2342,IndiGo,2019-03-03,Delhi,Cochin,DEL → BBI → COK,02:35:00,08:30:00,355,1.0,No info,13790,3,3,2019,Sunday,Night
2343,Air India,2019-05-15,Delhi,Cochin,DEL → HYD → MAA → COK,09:45:00,09:25:00,1420,2.0,No info,10975,15,5,2019,Wednesday,Morning
2344,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,09:20:00,1495,1.0,No info,14388,21,5,2019,Tuesday,Morning
2345,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → MUM → COK,18:00:00,01:30:00,450,1.0,No info,7198,6,6,2019,Thursday,Evening
2346,Jet Airways,2019-05-09,Delhi,Cochin,DEL → JAI → MUM → COK,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029,9,5,2019,Thursday,Morning
2347,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → MUM → COK,07:05:00,19:15:00,730,1.0,In-flight meal not included,12717,27,5,2019,Monday,Morning
2348,IndiGo,2019-03-03,Delhi,Cochin,DEL → MUM → COK,06:40:00,13:20:00,400,1.0,No info,14871,3,3,2019,Sunday,Morning
2349,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → MUM → PNQ → BLR,06:30:00,20:50:00,860,2.0,In-flight meal not included,10118,6,6,2019,Thursday,Morning
2350,Jet Airways,2019-06-06,Delhi,Cochin,DEL → MUM → COK,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262,6,6,2019,Thursday,Night
2351,Jet Airways,2019-03-24,Mumbai,Hyderabad,MUM → HYD,02:55:00,04:25:00,90,0.0,In-flight meal not included,2071,24,3,2019,Sunday,Night
2352,Air India,2019-04-27,Banglore,Delhi,BLR → DEL,21:05:00,23:55:00,170,0.0,No info,5228,27,4,2019,Saturday,Night
2353,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → MUM → DEL,16:55:00,11:25:00,1110,1.0,In-flight meal not included,7832,21,3,2019,Thursday,Afternoon
2354,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → MUM → COK,11:40:00,21:00:00,560,1.0,No info,7005,6,6,2019,Thursday,Morning
2355,Jet Airways,2019-06-09,Delhi,Cochin,DEL → BDQ → MUM → COK,18:25:00,12:35:00,1090,2.0,No info,14237,9,6,2019,Sunday,Evening
2356,SpiceJet,2019-04-06,Banglore,Delhi,BLR → DEL,21:10:00,00:05:00,175,0.0,No info,3971,6,4,2019,Saturday,Night
2357,IndiGo,2019-06-21,Banglore,Delhi,BLR → DEL,22:10:00,01:00:00,170,0.0,No info,3943,21,6,2019,Friday,Night
2358,IndiGo,2019-03-27,Delhi,Cochin,DEL → MUM → COK,06:40:00,15:30:00,530,1.0,No info,8574,27,3,2019,Wednesday,Morning
2359,Air India,2019-06-15,Delhi,Cochin,DEL → BHO → MUM → COK,05:55:00,19:15:00,800,2.0,No info,12646,15,6,2019,Saturday,Night
2360,Jet Airways,2019-03-21,Delhi,Cochin,DEL → UDR → MUM → COK,13:00:00,18:50:00,1790,2.0,No info,13082,21,3,2019,Thursday,Afternoon
2361,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,08:25:00,08:15:00,1430,1.0,No info,13941,21,5,2019,Tuesday,Morning
2362,GoAir,2019-04-06,Delhi,Cochin,DEL → MUM → COK,07:00:00,12:55:00,355,1.0,No info,5135,6,4,2019,Saturday,Morning
2363,Air India,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,10:00:00,20:25:00,625,1.0,No info,11096,21,5,2019,Tuesday,Morning
2364,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → MUM → DEL,22:50:00,09:30:00,640,1.0,No info,13555,18,3,2019,Monday,Night
2365,Vistara,2019-04-12,Banglore,Delhi,BLR → DEL,09:45:00,12:35:00,170,0.0,No info,5403,12,4,2019,Friday,Morning
2366,Jet Airways,2019-06-24,Delhi,Cochin,DEL → JDH → MUM → COK,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812,24,6,2019,Monday,Morning
2367,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → MUM → BLR,20:00:00,08:15:00,735,1.0,No info,14781,21,5,2019,Tuesday,Evening
2368,Air India,2019-06-06,Delhi,Cochin,DEL → BLR → COK,13:30:00,23:00:00,570,1.0,No info,8907,6,6,2019,Thursday,Afternoon
2369,Air India,2019-05-03,Kolkata,Banglore,CCU → BLR,20:45:00,23:20:00,155,0.0,No info,4145,3,5,2019,Friday,Evening
2370,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,20:25:00,09:45:00,800,1.0,No info,14151,9,6,2019,Sunday,Evening
2371,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → MUM → COK,06:00:00,15:30:00,570,1.0,No info,7845,27,3,2019,Wednesday,Morning
2372,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → MUM → COK,09:15:00,19:15:00,600,1.0,No info,8099,15,5,2019,Wednesday,Morning
2373,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → MUM → COK,15:00:00,01:30:00,630,1.0,No info,13377,27,5,2019,Monday,Afternoon
2374,Air India,2019-03-12,Banglore,New Delhi,BLR → HYD → VGA → DEL,06:50:00,11:20:00,1710,2.0,No info,12734,12,3,2019,Tuesday,Morning
2375,Jet Airways,2019-06-03,Delhi,Cochin,DEL → MUM → COK,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262,3,6,2019,Monday,Night
2376,Jet Airways,2019-05-15,Banglore,Delhi,BLR → DEL,18:55:00,22:00:00,185,0.0,No info,7229,15,5,2019,Wednesday,Evening
2377,Vistara,2019-03-06,Mumbai,Hyderabad,MUM → DEL → HYD,08:45:00,09:25:00,1480,1.0,No info,12395,6,3,2019,Wednesday,Morning
